"id","label","obsolete","ordering"
"destination.0","label.destination.0","0","0"
"destination.10","label.destination.10","0","10"
"destination.20","label.destination.20","0","20"
"destination.30","label.destination.30","0","30"
"destination.40","label.destination.40","0","40"
"destination.50","label.destination.50","0","50"
"destination.60","label.destination.60","0","60"
"destination.70","label.destination.70","0","70"
