"id","label","obsolete","ordering"
"01","label.month.01","0","10"
"02","label.month.02","0","20"
"03","label.month.03","0","30"
"04","label.month.04","0","40"
"05","label.month.05","0","50"
"06","label.month.06","0","60"
"07","label.month.07","0","70"
"08","label.month.08","0","80"
"09","label.month.09","0","90"
"10","label.month.10","0","100"
"11","label.month.11","0","110"
"12","label.month.12","0","120"
