"id","label","obsolete","ordering"
"152","label.administrative.route.secondary152","0","152"
"153","label.administrative.route.secondary153","0","153"
"154","label.administrative.route.secondary154","0","154"
"155","label.administrative.route.secondary155","0","155"
"156","label.administrative.route.secondary156","0","156"
"157","label.administrative.route.secondary157","0","157"
"158","label.administrative.route.secondary158","0","158"
"159","label.administrative.route.secondary159","0","159"
"160","label.administrative.route.secondary160","0","160"
"161","label.administrative.route.secondary161","0","161"
"162","label.administrative.route.secondary162","0","162"
"163","label.administrative.route.secondary163","0","163"
"164","label.administrative.route.secondary164","0","164"
"165","label.administrative.route.secondary165","0","165"
"166","label.administrative.route.secondary166","0","166"
"167","label.administrative.route.secondary167","0","167"
"168","label.administrative.route.secondary168","0","168"
"169","label.administrative.route.secondary169","0","169"
"170","label.administrative.route.secondary170","0","170"
"171","label.administrative.route.secondary171","0","171"
"172","label.administrative.route.secondary172","0","172"
"173","label.administrative.route.secondary173","0","173"
"174","label.administrative.route.secondary174","0","174"
"175","label.administrative.route.secondary175","0","175"
"176","label.administrative.route.secondary176","0","176"
"177","label.administrative.route.secondary177","0","177"
"178","label.administrative.route.secondary178","0","178"
"179","label.administrative.route.secondary179","0","179"
"180","label.administrative.route.secondary180","0","180"
"181","label.administrative.route.secondary181","0","181"
"182","label.administrative.route.secondary182","0","182"
"183","label.administrative.route.secondary183","0","183"
"184","label.administrative.route.secondary184","0","184"
"185","label.administrative.route.secondary185","0","185"
"186","label.administrative.route.secondary186","0","186"
"187","label.administrative.route.secondary187","0","187"
"188","label.administrative.route.secondary188","0","188"
"189","label.administrative.route.secondary189","0","189"
"190","label.administrative.route.secondary190","0","190"
"191","label.administrative.route.secondary191","0","191"
"192","label.administrative.route.secondary192","0","192"
"193","label.administrative.route.secondary193","0","193"
"194","label.administrative.route.secondary194","0","194"
"195","label.administrative.route.secondary195","0","195"
"196","label.administrative.route.secondary196","0","196"
"197","label.administrative.route.secondary197","0","197"
"198","label.administrative.route.secondary198","0","198"
"199","label.administrative.route.secondary199","0","199"
"200","label.administrative.route.secondary200","0","200"
"201","label.administrative.route.secondary201","0","201"
"202","label.administrative.route.secondary202","0","202"
"203","label.administrative.route.secondary203","0","203"
"204","label.administrative.route.secondary204","0","204"
"205","label.administrative.route.secondary205","0","205"
"206","label.administrative.route.secondary206","0","206"
"207","label.administrative.route.secondary207","0","207"
"208","label.administrative.route.secondary208","0","208"
"209","label.administrative.route.secondary209","0","209"
"210","label.administrative.route.secondary210","0","210"
"211","label.administrative.route.secondary211","0","211"
"212","label.administrative.route.secondary212","0","212"
"213","label.administrative.route.secondary213","0","213"
"214","label.administrative.route.secondary214","0","214"
"215","label.administrative.route.secondary215","0","215"
"216","label.administrative.route.secondary216","0","216"
"217","label.administrative.route.secondary217","0","217"
"218","label.administrative.route.secondary218","0","218"
"219","label.administrative.route.secondary219","0","219"
"220","label.administrative.route.secondary220","0","220"
"221","label.administrative.route.secondary221","0","221"
"222","label.administrative.route.secondary222","0","222"
"223","label.administrative.route.secondary223","0","223"
"224","label.administrative.route.secondary224","0","224"
"225","label.administrative.route.secondary225","0","225"
"226","label.administrative.route.secondary226","0","226"
"227","label.administrative.route.secondary227","0","227"
"228","label.administrative.route.secondary228","0","228"
"229","label.administrative.route.secondary229","0","229"
"230","label.administrative.route.secondary230","0","230"
"231","label.administrative.route.secondary231","0","231"
"232","label.administrative.route.secondary232","0","232"
"233","label.administrative.route.secondary233","0","233"
"234","label.administrative.route.secondary234","0","234"
"235","label.administrative.route.secondary235","0","235"
"236","label.administrative.route.secondary236","0","236"
"237","label.administrative.route.secondary237","0","237"
"238","label.administrative.route.secondary238","0","238"
"239","label.administrative.route.secondary239","0","239"
"240","label.administrative.route.secondary240","0","240"
"241","label.administrative.route.secondary241","0","241"
"242","label.administrative.route.secondary242","0","242"
"243","label.administrative.route.secondary243","0","243"
"244","label.administrative.route.secondary244","0","244"
"245","label.administrative.route.secondary245","0","245"
"246","label.administrative.route.secondary246","0","246"
"247","label.administrative.route.secondary247","0","247"
"248","label.administrative.route.secondary248","0","248"
"249","label.administrative.route.secondary249","0","249"
"250","label.administrative.route.secondary250","0","250"
"251","label.administrative.route.secondary251","0","251"
"252","label.administrative.route.secondary252","0","252"
"253","label.administrative.route.secondary253","0","253"
"254","label.administrative.route.secondary254","0","254"
"255","label.administrative.route.secondary255","0","255"
"256","label.administrative.route.secondary256","0","256"
"257","label.administrative.route.secondary257","0","257"
"258","label.administrative.route.secondary258","0","258"
"259","label.administrative.route.secondary259","0","259"
"260","label.administrative.route.secondary260","0","260"
"261","label.administrative.route.secondary261","0","261"
"262","label.administrative.route.secondary262","0","262"
"263","label.administrative.route.secondary263","0","263"
"264","label.administrative.route.secondary264","0","264"
"265","label.administrative.route.secondary265","0","265"
