"id","label","obsolete","ordering"
"274","18.4","0","274"
"275","34.1","0","275"
"276","28.6","0","276"
"277","48.7","0","277"
"278","33.5","0","278"
"279","42.4","0","279"
"280","32.6","0","280"
"281","39.7","0","281"
"282","6.6","0","282"
"283","15.7","0","283"
"284","34.6","0","284"
"285","12.5","0","285"
"286","11.9","0","286"
"287","20.5","0","287"
"288","34.6","0","288"
"289","33.6","0","289"
"290","34.3","0","290"
"291","26.6","0","291"
"292","50.7","0","292"
"293","36.7","0","293"
"294","33.9","0","294"
"295","37.8","0","295"
"296","28.5","0","296"
"297","31.3","0","297"
"298","23.9","0","298"
"299","23.4","0","299"
"300","21.6","0","300"
"301","25.1","0","301"
"302","20.4","0","302"
"303","16.5","0","303"
"304","35.1","0","304"
"305","38.4","0","305"
"306","39.3","0","306"
"307","33.1","0","307"
"308","44.2","0","308"
"309","28.6","0","309"
"310","176","0","310"
"311","224","0","311"
"312","189","0","312"
"313","40.7","0","313"
"314","69.4","0","314"
"315","20.4","0","315"
"316","9.1","0","316"
"317","34.3","0","317"
"318","55.8","0","318"
"319","32.9","0","319"
"320","22.3","0","320"
"321","12.5","0","321"
"322","17.5","0","322"
"323","26.2","0","323"
"324","29.1","0","324"
"325","27.7","0","325"
"326","19.3","0","326"
"327","17.9","0","327"
"328","21.8","0","328"
"1000","11.3","0","1000"
"1001","20.3","0","1001"
"1002","10.6","0","1002"
"1003","6.3","0","1003"
"1004","13.1","0","1004"
"1005","4.6","0","1005"
"1006","6.4","0","1006"
"1007","5.85","0","1007"
"1008","10.8","0","1008"
"1009","13.5","0","1009"
"1010","15.8","0","1010"
"1011","18.3","0","1011"
"1012","15.1","0","1012"
"1013","9.8","0","1013"
"1014","10.6","0","1014"
"1015","13.6","0","1015"
"1016","7","0","1016"
"1017","8.3","0","1017"
"1018","2.5","0","1018"
"1019","5.1","0","1019"
"1020","20.45","0","1020"
"1021","10.95","0","1021"
"1022","11.1","0","1022"
"1023","4","0","1023"
"1024","5.55","0","1024"
"1025","15.8","0","1025"
"1026","18.3","0","1026"
"1027","15.1","0","1027"
"1028","9.8","0","1028"
"1029","10.6","0","1029"
"2000","24.4","0","2000"
"2001","16.1","0","2001"
"2002","16.3","0","2002"
"2003","29.8","0","2003"
"2004","73.4","0","2004"
"2005","3.5","0","2005"
"2006","11.9","0","2006"
"2007","47.6","0","2007"
"2008","7.7","0","2008"
"2009","5.1","0","2009"
"2010","72.2","0","2010"
"2011","57.3","0","2011"
"2012","126","0","2012"
"2013","31.1","0","2013"
"2014","21.3","0","2014"
"2015","9.7","0","2015"
"2016","30","0","2016"
"2017","71.5","0","2017"
"2018","5.6","0","2018"
"2019","6.1","0","2019"
"2020","54.3","0","2020"
"2021","6","0","2021"
"2022","12.9","0","2022"
"2023","79.4","0","2023"
"2024","64.1","0","2024"
"2025","133","0","2025"
"2026","31.1","0","2026"
"2027","21.3","0","2027"
"2028","9.7","0","2028"
"2029","30","0","2029"
"2030","71.5","0","2030"
"2031","5.6","0","2031"
"2032","6.1","0","2032"
"2033","54.3","0","2033"
"2034","6","0","2034"
"2035","12.9","0","2035"
"2036","79.4","0","2036"
"2037","64.1","0","2037"
"2038","133","0","2038"
"2039","62","0","2039"
"2040","77.5","0","2040"
"2041","83","0","2041"
"2042","93.6","0","2042"
"2043","137","0","2043"
"2044","78.9","0","2044"
"2045","79.6","0","2045"
"2046","36","0","2046"
"2047","71.7","0","2047"
"2048","73.6","0","2048"
"2049","23","0","2049"
"2050","63.2","0","2050"
"2051","54.3","0","2051"
"2052","56.7","0","2052"
"2053","72.2","0","2053"
"2054","83.6","0","2054"
"2055","88.3","0","2055"
"2056","132","0","2056"
"2057","73.6","0","2057"
"2058","74.3","0","2058"
"2059","25","0","2059"
"2060","66.4","0","2060"
"2061","68.2","0","2061"
"2062","12","0","2062"
"2063","52.2","0","2063"
"2064","65.3","0","2064"
